,City,Year,Total Population,Total Population Male,Total Population Female,Agg Travel to Wrk(min),Agg Travel to Wrk(min):Less than 10 min,Agg Travel to Wrk(min):10 to 14 min,Agg Travel to Wrk(min):15 to 19 min,Agg Travel to Wrk(min):20 to 24 min,Agg Travel to Wrk(min):25 to 29 min,Agg Travel to Wrk(min):30 to 34 min,Agg Travel to Wrk(min):35 to 44 min,Agg Travel to Wrk(min):45 to 59 min,Agg Travel to Wrk(min):60 or more min,Agg Travel to Wrk(min) Mode :Total,Agg Travel to Wrk(min) Mode :Car,Agg Travel to Wrk(min) Mode :Car alone,Agg Travel to Wrk(min) Mode :Car Carpool,Agg Travel to Wrk(min) Mode :Car Carpool 2P,Agg Travel to Wrk(min) Mode :Car Carpool 3P+,Agg Travel to Wrk(min) Mode :Pub Tran !=cab,Agg Travel to Wrk(min) Mode :Pub Tran !=cab Bus or trolley,"Agg Travel to Wrk(min) Mode :Pub Tran !=cab St/trolly car subway, elevated",Agg Travel to Wrk(min) Mode :Pub Tran !=cab RR ferry,Agg Travel to Wrk(min) Mode :Walked,"Agg Travel to Wrk(min) Mode :Taxicab, motor/bicycle, other",Pov Stat :Total,Pov Stat :Male,Pov Stat :Female,Income/Poverty level :Total,Income/Poverty level :Under .50,Income/Poverty level :.50 to .74,Income/Poverty level :.75 to .99,Income/Poverty level :1.00 to 1.24,Income/Poverty level :1.25 to 1.49,Income/Poverty level :1.50 to 1.74,Income/Poverty level :1.75 to 1.84,Income/Poverty level :1.85 to 1.99,Income/Poverty level :2.00 to 2.99,Income/Poverty level :3.00 to 3.99,Income/Poverty level :4.00 to 4.99,Income/Poverty level :5.00 and over,HI cover: TOTAL,HI cover: Male,HI cover: Female,Priv HI cover: Total,Priv HI cover: Male,Priv HI cover: Female,Pub HI cover: Total,Pub HI cover: Male,Pub HI cover: Female,Employer HI cover: Total,Employer HI cover: Male,Employer HI cover: Female,Direct HI cover: Total,Direct HI cover: Male,Direct HI cover: Female,Medicaid/Means-det Pub HI cover: Total,Medicaid/Means-det Pub HI cover: Male,Medicaid/Means-det Pub HI cover: Female
0,Avondale city,2011,77526.0,36926.0,40600.0,725660.0,10190.0,34740.0,111270.0,78700.0,44320.0,137850.0,94310.0,92085.0,122195.0,,,,,,,,,,,,,77386.0,7526.0,9410.0,77386.0,5495.0,3041.0,8400.0,4340.0,6100.0,3367.0,372.0,2839.0,22513.0,10047.0,2319.0,8553.0,77386.0,36915.0,40471.0,77386.0,36915.0,40471.0,77386.0,36915.0,40471.0,77386.0,36915.0,40471.0,77386.0,36915.0,40471.0,77386.0,36915.0,40471.0
1,Casas Adobes CDP,2011,67496.0,31751.0,35745.0,670530.0,14570.0,43975.0,65200.0,85770.0,65635.0,159730.0,93325.0,66035.0,76290.0,,,,,,,,,,,,,66562.0,3681.0,4337.0,66562.0,3416.0,1913.0,2689.0,3431.0,2042.0,2982.0,742.0,1762.0,12375.0,8679.0,6986.0,19545.0,66528.0,31192.0,35336.0,66528.0,31192.0,35336.0,66528.0,31192.0,35336.0,66528.0,31192.0,35336.0,66528.0,31192.0,35336.0,66528.0,31192.0,35336.0
2,Chandler city,2011,240098.0,119460.0,120638.0,2654485.0,68860.0,141465.0,321925.0,339310.0,314165.0,431375.0,348060.0,371455.0,317865.0,,,,,,,,,,,,,238542.0,12137.0,12810.0,238542.0,11136.0,7868.0,5943.0,3396.0,6381.0,7009.0,5471.0,5987.0,35561.0,35685.0,30015.0,84090.0,239902.0,119323.0,120579.0,239902.0,119323.0,120579.0,239902.0,119323.0,120579.0,239902.0,119323.0,120579.0,239902.0,119323.0,120579.0,239902.0,119323.0,120579.0
3,Flagstaff city,2011,65904.0,32208.0,33696.0,502245.0,48895.0,117045.0,81120.0,47630.0,22750.0,17760.0,16090.0,25315.0,125635.0,502245.0,410075.0,325215.0,84855.0,68745.0,16110.0,21035.0,21035.0,,,44120.0,27015.0,57841.0,6634.0,7402.0,57841.0,6605.0,3676.0,3755.0,4170.0,3274.0,1862.0,1485.0,1647.0,7392.0,7999.0,3342.0,12634.0,65453.0,31889.0,33564.0,65453.0,31889.0,33564.0,65453.0,31889.0,33564.0,65453.0,31889.0,33564.0,65453.0,31889.0,33564.0,65453.0,31889.0,33564.0
4,Gilbert town,2011,211964.0,105466.0,106498.0,2445905.0,55535.0,99485.0,159805.0,297495.0,152140.0,490050.0,225320.0,446385.0,519695.0,,,,,,,,,,,,,211076.0,7403.0,7680.0,211076.0,8407.0,3019.0,3657.0,7011.0,3677.0,7272.0,9420.0,4611.0,43964.0,30112.0,24074.0,65852.0,211596.0,105183.0,106413.0,211596.0,105183.0,106413.0,211596.0,105183.0,106413.0,211596.0,105183.0,106413.0,211596.0,105183.0,106413.0,211596.0,105183.0,106413.0
5,Glendale city,2011,230466.0,115974.0,114492.0,2811225.0,39990.0,103620.0,218740.0,331550.0,219335.0,542505.0,343905.0,426845.0,584735.0,2811225.0,2517775.0,1963815.0,553960.0,400190.0,153770.0,170800.0,170800.0,,,22285.0,100365.0,228437.0,20431.0,23537.0,228437.0,19741.0,10511.0,13716.0,10152.0,13123.0,14860.0,3859.0,7490.0,41400.0,29094.0,23256.0,41235.0,228441.0,114765.0,113676.0,228441.0,114765.0,113676.0,228441.0,114765.0,113676.0,228441.0,114765.0,113676.0,228441.0,114765.0,113676.0,228441.0,114765.0,113676.0
6,Goodyear city,2011,66312.0,33299.0,33013.0,818330.0,3090.0,43065.0,31830.0,93320.0,22185.0,116280.0,200040.0,225085.0,83440.0,,,,,,,,,,,,,,,,62489.0,2898.0,403.0,1865.0,2599.0,3214.0,3115.0,1349.0,1466.0,13115.0,8399.0,6251.0,17815.0,62581.0,31438.0,31143.0,62581.0,31438.0,31143.0,62581.0,31438.0,31143.0,62581.0,31438.0,31143.0,62581.0,31438.0,31143.0,62581.0,31438.0,31143.0
7,Mesa city,2011,446498.0,219468.0,227030.0,4518795.0,101005.0,203260.0,459080.0,585975.0,304320.0,1009760.0,597405.0,569205.0,688790.0,,,,,,,,,,,,,442232.0,33341.0,41368.0,442232.0,32487.0,16485.0,25737.0,22953.0,28114.0,21201.0,12361.0,13329.0,82385.0,64907.0,36660.0,85613.0,445115.0,218876.0,226239.0,445115.0,218876.0,226239.0,445115.0,218876.0,226239.0,445115.0,218876.0,226239.0,445115.0,218876.0,226239.0,445115.0,218876.0,226239.0
8,Peoria city,2011,156634.0,76777.0,79857.0,1869475.0,18905.0,82170.0,158415.0,221160.0,121995.0,346230.0,214000.0,385270.0,321335.0,1869475.0,1822495.0,1522090.0,300405.0,228445.0,71960.0,5385.0,5385.0,,,1245.0,40350.0,155291.0,9450.0,7725.0,155291.0,8103.0,4691.0,4381.0,5730.0,2892.0,4879.0,1629.0,4685.0,26409.0,25799.0,17313.0,48780.0,155564.0,76406.0,79158.0,155564.0,76406.0,79158.0,155564.0,76406.0,79158.0,155564.0,76406.0,79158.0,155564.0,76406.0,79158.0,155564.0,76406.0,79158.0
9,Phoenix city,2011,1469484.0,739978.0,729506.0,15107935.0,285610.0,873985.0,1445940.0,2129715.0,1209015.0,3482380.0,1627330.0,1695230.0,2358725.0,15107935.0,13163370.0,11157875.0,2005495.0,1542555.0,462945.0,1282000.0,1224115.0,57885.0,,154890.0,507670.0,1450915.0,162724.0,169938.0,1450915.0,157436.0,82989.0,92237.0,100649.0,91560.0,71170.0,26766.0,37800.0,233969.0,157777.0,129587.0,268975.0,1458286.0,731444.0,726842.0,1458286.0,731444.0,726842.0,1458286.0,731444.0,726842.0,1458286.0,731444.0,726842.0,1458286.0,731444.0,726842.0,1458286.0,731444.0,726842.0
