,City,Population,Violent crime,Murder and nonnegligent manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,year,Arson
0,Apache Junction,33225.0,108.0,3.0,15.0,14.0,76.0,1043.0,266.0,697.0,80.0,2010,3.0
2,Buckeye,50008.0,43.0,1.0,0.0,13.0,29.0,1245.0,344.0,815.0,86.0,2010,11.0
3,Bullhead City,39488.0,59.0,3.0,0.0,17.0,39.0,1540.0,336.0,1107.0,97.0,2010,6.0
4,Camp Verde,10535.0,18.0,0.0,0.0,1.0,17.0,240.0,60.0,166.0,14.0,2010,2.0
5,Casa Grande,42522.0,250.0,1.0,6.0,52.0,191.0,2847.0,599.0,2075.0,173.0,2010,12.0
6,Chandler,241826.0,691.0,6.0,61.0,195.0,429.0,7516.0,1373.0,5766.0,377.0,2010,50.0
7,Chino Valley,10837.0,48.0,0.0,4.0,0.0,44.0,220.0,44.0,165.0,11.0,2010,2.0
12,Cottonwood,11010.0,58.0,0.0,2.0,3.0,53.0,376.0,51.0,318.0,7.0,2010,3.0
14,El Mirage,24047.0,83.0,1.0,9.0,25.0,48.0,846.0,225.0,540.0,81.0,2010,6.0
15,Eloy,12897.0,88.0,4.0,3.0,8.0,73.0,675.0,270.0,341.0,64.0,2010,9.0
16,Flagstaff,58739.0,267.0,5.0,37.0,49.0,176.0,2955.0,226.0,2666.0,63.0,2010,21.0
17,Florence,21096.0,39.0,0.0,1.0,1.0,37.0,247.0,106.0,126.0,15.0,2010,4.0
19,Gilbert,215215.0,205.0,5.0,26.0,61.0,113.0,4080.0,791.0,3135.0,154.0,2010,38.0
20,Glendale,245387.0,963.0,12.0,46.0,385.0,520.0,13529.0,2264.0,9936.0,1329.0,2010,
22,Goodyear,61721.0,134.0,0.0,11.0,26.0,97.0,1991.0,883.0,907.0,201.0,2010,11.0
26,Kingman,26671.0,83.0,1.0,15.0,22.0,45.0,1574.0,358.0,1142.0,74.0,2010,2.0
28,Marana,34039.0,28.0,0.0,3.0,12.0,13.0,1095.0,125.0,900.0,70.0,2010,3.0
29,Mesa,452725.0,1790.0,15.0,124.0,511.0,1140.0,14876.0,2711.0,11158.0,1007.0,2010,59.0
31,Nogales,19399.0,51.0,0.0,0.0,5.0,46.0,766.0,114.0,556.0,96.0,2010,0.0
32,Oro Valley,42644.0,30.0,0.0,4.0,10.0,16.0,774.0,94.0,654.0,26.0,2010,4.0
34,Paradise Valley,14715.0,11.0,0.0,0.0,4.0,7.0,279.0,172.0,99.0,8.0,2010,0.0
36,Payson,15067.0,122.0,0.0,3.0,3.0,116.0,405.0,89.0,302.0,14.0,2010,1.0
37,Peoria,158184.0,282.0,6.0,38.0,66.0,172.0,4630.0,867.0,3380.0,383.0,2010,14.0
38,Phoenix,1544427.0,8002.0,117.0,522.0,3250.0,4113.0,61362.0,15626.0,38012.0,7724.0,2010,320.0
40,Prescott,41428.0,135.0,0.0,11.0,13.0,111.0,1251.0,221.0,979.0,51.0,2010,8.0
41,Prescott,37275.0,109.0,1.0,8.0,4.0,96.0,670.0,105.0,552.0,13.0,2010,3.0
43,Sahuarita,24067.0,14.0,0.0,3.0,0.0,11.0,369.0,55.0,292.0,22.0,2010,7.0
44,Scottsdale,230496.0,353.0,4.0,33.0,100.0,216.0,6563.0,1281.0,5014.0,268.0,2010,12.0
45,Sedona,11240.0,17.0,0.0,6.0,0.0,11.0,210.0,50.0,155.0,5.0,2010,1.0
46,Sierra Vista,41892.0,121.0,1.0,21.0,13.0,86.0,1395.0,212.0,1129.0,54.0,2010,7.0
48,Somerton,12360.0,5.0,0.0,0.0,3.0,2.0,225.0,41.0,160.0,24.0,2010,1.0
51,Surprise,92294.0,106.0,0.0,13.0,35.0,58.0,1977.0,440.0,1438.0,99.0,2010,27.0
52,Tempe,173004.0,779.0,11.0,43.0,268.0,457.0,8472.0,1416.0,6412.0,644.0,2010,42.0
56,Tucson,527107.0,3331.0,51.0,158.0,1088.0,2034.0,,5002.0,,3433.0,2010,153.0
61,Yuma,88291.0,550.0,3.0,24.0,56.0,467.0,3060.0,815.0,2058.0,187.0,2010,27.0
0,Apache Junction,36347.0,84.0,4.0,5.0,8.0,67.0,1239.0,308.0,848.0,83.0,2011,0.0
3,Buckeye,51596.0,43.0,0.0,1.0,11.0,31.0,1341.0,397.0,898.0,46.0,2011,5.0
